,ART_AND_DESIGN_IN_en_appid,ART_AND_DESIGN_IN_en_appname,ART_AND_DESIGN_IN_enavg_rank,AUTO_AND_VEHICLES_IN_en_appid,AUTO_AND_VEHICLES_IN_en_appname,AUTO_AND_VEHICLES_IN_enavg_rank,BEAUTY_IN_en_appid,BEAUTY_IN_en_appname,BEAUTY_IN_enavg_rank,BOOKS_AND_REFERENCE_IN_en_appid,BOOKS_AND_REFERENCE_IN_en_appname,BOOKS_AND_REFERENCE_IN_enavg_rank,BUSINESS_IN_en_appid,BUSINESS_IN_en_appname,BUSINESS_IN_enavg_rank,COMICS_IN_en_appid,COMICS_IN_en_appname,COMICS_IN_enavg_rank,COMMUNICATION_IN_en_appid,COMMUNICATION_IN_en_appname,COMMUNICATION_IN_enavg_rank,DATING_IN_en_appid,DATING_IN_en_appname,DATING_IN_enavg_rank,EDUCATION_IN_en_appid,EDUCATION_IN_en_appname,EDUCATION_IN_enavg_rank,ENTERTAINMENT_IN_en_appid,ENTERTAINMENT_IN_en_appname,ENTERTAINMENT_IN_enavg_rank,EVENTS_IN_en_appid,EVENTS_IN_en_appname,EVENTS_IN_enavg_rank,FINANCE_IN_en_appid,FINANCE_IN_en_appname,FINANCE_IN_enavg_rank,FOOD_AND_DRINK_IN_en_appid,FOOD_AND_DRINK_IN_en_appname,FOOD_AND_DRINK_IN_enavg_rank,HEALTH_AND_FITNESS_IN_en_appid,HEALTH_AND_FITNESS_IN_en_appname,HEALTH_AND_FITNESS_IN_enavg_rank,HOUSE_AND_HOME_IN_en_appid,HOUSE_AND_HOME_IN_en_appname,HOUSE_AND_HOME_IN_enavg_rank,LIBRARIES_AND_DEMO_IN_en_appid,LIBRARIES_AND_DEMO_IN_en_appname,LIBRARIES_AND_DEMO_IN_enavg_rank,LIFESTYLE_IN_en_appid,LIFESTYLE_IN_en_appname,LIFESTYLE_IN_enavg_rank,MAPS_AND_NAVIGATION_IN_en_appid,MAPS_AND_NAVIGATION_IN_en_appname,MAPS_AND_NAVIGATION_IN_enavg_rank,MEDICAL_IN_en_appid,MEDICAL_IN_en_appname,MEDICAL_IN_enavg_rank,MUSIC_AND_AUDIO_IN_en_appid,MUSIC_AND_AUDIO_IN_en_appname,MUSIC_AND_AUDIO_IN_enavg_rank,NEWS_AND_MAGAZINES_IN_en_appid,NEWS_AND_MAGAZINES_IN_en_appname,NEWS_AND_MAGAZINES_IN_enavg_rank,PARENTING_IN_en_appid,PARENTING_IN_en_appname,PARENTING_IN_enavg_rank,PERSONALIZATION_IN_en_appid,PERSONALIZATION_IN_en_appname,PERSONALIZATION_IN_enavg_rank,PHOTOGRAPHY_IN_en_appid,PHOTOGRAPHY_IN_en_appname,PHOTOGRAPHY_IN_enavg_rank,PRODUCTIVITY_IN_en_appid,PRODUCTIVITY_IN_en_appname,PRODUCTIVITY_IN_enavg_rank,SHOPPING_IN_en_appid,SHOPPING_IN_en_appname,SHOPPING_IN_enavg_rank,SOCIAL_IN_en_appid,SOCIAL_IN_en_appname,SOCIAL_IN_enavg_rank,SPORTS_IN_en_appid,SPORTS_IN_en_appname,SPORTS_IN_enavg_rank,TOOLS_IN_en_appid,TOOLS_IN_en_appname,TOOLS_IN_enavg_rank,TRAVEL_AND_LOCAL_IN_en_appid,TRAVEL_AND_LOCAL_IN_en_appname,TRAVEL_AND_LOCAL_IN_enavg_rank,VIDEO_PLAYERS_IN_en_appid,VIDEO_PLAYERS_IN_en_appname,VIDEO_PLAYERS_IN_enavg_rank,WEATHER_IN_en_appid,WEATHER_IN_en_appname,WEATHER_IN_enavg_rank
0,com.canva.editor,Photo & Video Editor - Canva,1.1428571428571428,com.vehicle.rto.vahan.status.information.register,RTO Vehicle Information,1.0,air.com.winkypinky.dressuproyalprincessdoll,Dress Up Royal Princess Doll,1.4285714285714286,com.sxxlib.mooreader,MooReader,1.0,us.zoom.videomeetings,Zoom - One Platform to Connect,1.0,air.com.winkypinky.iceprincessmakeupsalonforsisters,Ice Princess Makeup Salon,1.5714285714285714,com.snapchat.android,Snapchat,1.0,com.bumble.app,Bumble - Dating. Friends. Bizz,1.2857142857142858,com.duolingo,Duolingo: Learn English,1.0,com.jio.media.ondemand,"JioCinema - Sports, Movies, TV",1.0,com.greetingsisland.sam,Invitation maker & Card design,1.0,com.phonepe.app,"PhonePe UPI, Payment, Recharge",1.0,com.application.zomato,Zomato: Food Delivery & Dining,1.0,com.bloodpressure.bptrackerapp,Blood Pressure App,1.0,com.locon.housing,"Housing: Buy, Rent, Sell & Pay",1.0,com.lockscreen.notification.iosscreenlock,Dynamic Island Ios Lock,1.0,com.astrotalk,Astrotalk - Talk to Astrologer,1.4285714285714286,com.rapido.passenger,Rapido: Bike-Taxi & Auto,1.0,com.NetmedsMarketplace.Netmeds,Netmeds - India Ki Pharmacy,1.0,com.bsbportal.music,"Wynk Music-Songs, MP3, Podcast",1.1428571428571428,sun.way2sms.hyd.com,"Way2News: News app, Short News",1.4285714285714286,com.healofy,Healofy -Pregnancy & Parenting,1.0,net.zedge.android,ZEDGE™ Wallpapers & Ringtones,1.0,com.tikipcamera.android.cameraapp,TikiCam: Pro HD Beauty Camera,1.5714285714285714,com.jio.myjio,MyJio: For Everything Jio,1.0,com.flipkart.shopsy,Shopsy Shopping App - Flipkart,1.2857142857142858,com.instagram.android,Instagram,1.0,com.crrepa.band.dafit,Da Fit,1.1428571428571428,com.normalproxy.app,Normal VPN - Stable&Safe Proxy,1.0,com.whereismytrain.android,Where is my Train,1.0,com.mast.status.video.edit,mAst: Music Status Video Maker,1.2857142857142858,com.gcg.traingamesfreesimulator,Train Driving : Check Weather,1.4285714285714286
1,com.adsk.sketchbook,Sketchbook,1.8571428571428572,com.ovunque.parkwheels,Park+ FASTag | RTO | Parivahan,2.0,com.jbnfa.photo.sketme.toonme,Sketchme: Cartoon Photo Editor,3.142857142857143,com.google.android.apps.books,Google Play Books & Audiobooks,2.142857142857143,com.localqueen,GlowRoad: Resell & Earn Online,2.4285714285714284,com.pratilipi.comics,Pratilipi Comics,1.7142857142857142,com.truecaller,Truecaller: Caller ID & Block,2.142857142857143,com.tinder,Tinder - Match. Chat. Date.,2.0,com.joshtalks.joshskills,JoshTalks English Speaking App,2.142857142857143,in.startv.hotstar,Hotstar,3.4285714285714284,com.videoinvites.app,Video Invitation Maker App,2.0,net.one97.paytm,Paytm: Secure UPI Payments,2.0,in.swiggy.android,Swiggy Food & Grocery Delivery,2.0,com.noisefit,NoiseFit: Health & Fitness,2.0,com.ivuu,AlfredCamera Home Security app,2.0,com.mantra.mfs100test,MFS100 Test,1.5714285714285714,com.eloelo,Eloelo: Live Chatrooms & Games,1.5714285714285714,com.olacabs.customer,"Ola, Safe and affordable rides",2.0,com.apollo.patientapp,Apollo 247 - Health & Medicine,2.0,com.spotify.music,Spotify: Music and Podcasts,1.8571428571428572,com.ak.ta.dainikbhaskar.activity,Hindi News by Dainik Bhaskar,1.5714285714285714,in.mylo.pregnancy.baby.app,Mylo Pregnancy & Parenting App,2.2857142857142856,net.mobcup.android,MobCup Ringtones & Wallpapers,2.0,com.camerasideas.instashot,Video Editor & Maker - InShot,1.7142857142857142,share.sharekaro.pro,Share Karo: File Transfer App,2.0,com.flipkart.android,Flipkart Online Shopping App,1.7142857142857142,com.facebook.katana,Facebook,2.0,com.threesixteen.app,Rooter: Watch Gaming & Esports,1.8571428571428572,com.mate.vpn,XY VPN - Security Proxy VPN,2.2857142857142856,com.ixigo.train.ixitrain,Train Status Ticket Book PNR,2.0,com.picslab.neon.editor,Music Lyrical Video Maker-Mivi,1.8571428571428572,com.entertaininglogixapps.free.digital.compass.forandroid,Digital Compass: Smart Compass,1.5714285714285714
2,com.brandspot365,Brands.live - Festival Poster,3.2857142857142856,search.find.lorries.invite.transporter.add.lorries.deliveries.codenicely.search.vahak,"Vahak: Book Online Truck, Load",3.0,com.tj.dslrprofessional.hdcamera,DSLR HD Camera : 4K HD Camera,3.2857142857142856,com.guide.grand.city.auto.tips,Tips For Grand City theft Auto,3.0,com.phonepe.app.business,PhonePe Business,2.5714285714285716,com.bilibili.comic.intl,BILIBILI COMICS - Manga Reader,3.0,com.whatsapp.w4b,WhatsApp Business,2.857142857142857,com.deccanappz.livechat.indianchat,Hot Indian Girls Video Chat - ,2.7142857142857144,com.starsports.totariapps.starsports.hd,Cricket Live TV Streaming,3.0,com.graymatrix.did,"ZEE5 Movies, Web Series, Shows",3.7142857142857144,com.enjoy.celebrare,Wedding Card Maker Indian,3.5714285714285716,com.google.android.apps.nbu.paisa.user,Google Pay: Secure UPI payment,3.0,com.Dominos,Domino's Pizza - Food Delivery,3.0,com.bloodpressurechecker.bpmonitor.bptracker,Blood Pressure Tracker,3.0,com.kolo.android,Kolo - Home Design & Interiors,3.2857142857142856,com.sopircanter.bussidindianliveryhornmod,Bussid Indian Livery Horn Mod,3.4285714285714284,com.pinterest,Pinterest,3.2857142857142856,com.ubercab,Uber - Request a ride,3.0,com.mhbl.sastasundar,Flipkart Health+ (SastaSundar),3.142857142857143,com.jio.media.jiobeats,JioSaavn - Music & Podcasts,3.0,com.eterno,Dailyhunt: News Video Cricket,3.2857142857142856,com.reasonlabs.familykeeper.parentalcontrol.parents,FamilyKeeper Parental Control,3.4285714285714284,com.wave.livewallpaper,Wave Live Wallpapers Maker 3D,3.0,com.picsart.studio,Picsart Photo Editor & Filters,3.142857142857143,com.mventus.selfcare.activity,"Vi: Recharge, Music, Games, TV",3.0,com.ril.ajio,AJIO - House Of Brands,3.857142857142857,com.instagram.lite,Instagram Lite,3.0,com.adidas.app,adidas,3.142857142857143,com.yy.biu,Noizz: video editor with music,2.7142857142857144,cris.org.in.prs.ima,IRCTC Rail Connect,3.142857142857143,com.playit.videoplayer,PLAYit-All in One Video Player,3.142857142857143,de.wetteronline.wetterapp,Weather & Radar - Storm radar,3.2857142857142856
3,com.crafto.android,"Crafto Daily Suvichar, Quotes",3.7142857142857144,gomechanic.retail,GoMechanic Car Services & More,4.0,com.lyrebirdstudio.beauty,Beauty Makeup Editor & Camera,3.7142857142857144,com.audible.application,Audible: audiobooks & podcasts,4.0,com.linkedin.android,LinkedIn: Jobs & Business News,4.285714285714286,com.naver.linewebtoon,WEBTOON,3.7142857142857144,com.whatsapp,WhatsApp Messenger,4.0,com.bdvideocall.randomvideocall,Video Call Random Chat - Live ,4.0,com.starsports.hassan.starsports.apps.star.sports,Cricket Live TV Streaming,3.0,com.jio.jioplay.tv,JioTV,4.0,com.codenicely.shaadicardmaker,Shaadi & Engagement Card Maker,5.0,com.myairtelapp,Airtel Thanks – Recharge & UPI,4.0,com.grofers.customerapp,Blinkit: Grocery in minutes,4.0,homeworkout.homeworkouts.noequipment,Home Workout - No Equipment,4.714285714285714,com.urbanclap.urbanclap,Urban Company (Prev UrbanClap),3.7142857142857144,com.google.samples.apps.cardboarddemo,Cardboard,3.5714285714285716,com.taurus.app.android,Taurus – Daily Tasks & Cash,3.7142857142857144,com.cuvora.carinfo,RTO Vehicle Information App,4.0,in.medibuddy,"MediBuddy-Online Dr, Lab, Meds",4.285714285714286,com.moonvideo.android.resso,Resso Music - Songs & Lyrics,4.0,com.nis.app,Inshorts - News in 60 words,4.428571428571429,com.family.locator.find.my.kids,Family Tracker by Phone Number,4.285714285714286,vault.gallery.lock,Photo Lock App - Hide Pictures,4.857142857142857,com.bigwinepot.nwdn.international,Remini - AI Photo Enhancer,4.285714285714286,com.oproxy.intool,Secret Net & video chat proxy,4.0,in.amazon.mShop.android.shopping,"Amazon India Shop, Pay, miniTV",3.857142857142857,in.mohalla.sharechat,ShareChat - Made in India,4.0,com.cricbuzz.android,Cricbuzz - Live Cricket Scores,4.571428571428571,com.speedfiypro.app,speedbooster-live video proxy,4.428571428571429,com.confirmtkt.lite,ConfirmTkt: Book Train Tickets,3.857142857142857,com.mxtech.videoplayer.ad,"MX Player: Videos, OTT & Games",3.7142857142857144,com.accurate.live.weather.widget,Weather Forecast - Live radar,4.142857142857143
4,com.tattoo.body.name.girls.boys.photo.editor,Tattoo My Name On Photo Editor,5.142857142857143,com.opsway.boodmo,boodmo - Spare Parts Expert,5.0,ai.beautyplus.edit,Beauty Camera - Selfie Camera,4.142857142857143,com.pratilipi.mobile.android,Pratilipi - World of Stories,5.571428571428571,com.adobe.scan.android,"Adobe Scan: PDF Scanner, OCR",5.142857142857143,com.marvel.unlimited,Marvel Unlimited,5.142857142857143,org.telegram.messenger,Telegram,5.0,com.xvvazlivevideo.vieoladalcallazaq,Sexy Girl Live Video Call,5.0,com.unacademyapp,Unacademy Learner App,4.428571428571429,com.funtech.funxd,FunXD・Indian Short Video App,4.285714285714286,com.playings.tvfree.ludooo,Zupee Ludo Gold - Tips,5.75,org.altruist.BajajExperia,"Bajaj Finserv: UPI, Pay, Loans",5.0,app.mycountrydelight.in.countrydelight,Country Delight: Milk Delivery,6.0,com.bloodpressure.heartmonitor.mytracker,Blood Pressure: Heart Health,5.0,com.nnacres.app,99acres Buy/Rent/Sell Property,5.571428571428571,com.applisto.appcloner.premium,App Cloner Premium & Add-ons,3.7142857142857144,com.mandir,Sri Mandir - Your Own Temple,6.142857142857143,app.zophop,Chalo - Live Bus Tracking App,5.285714285714286,com.aranoah.healthkart.plus,TATA 1mg Online Healthcare App,4.714285714285714,com.radio.pocketfm,Pocket FM: Audiobook & Podcast,5.0,in.AajTak.headlines,Aaj Tak Hindi News Live TV App,4.571428571428571,org.findmykids.app,Find My Kids・Family tracker,5.142857142857143,com.pixelkraft.edgelighting,Edge Lighting - Borderlight,6.571428571428571,com.niksoftware.snapseed,Snapseed,4.428571428571429,com.cambyte.okenscan,"OKEN - CamScanner, PDF scanner",5.428571428571429,com.meesho.supply,Meesho: Online Shopping App,4.285714285714286,com.facebook.lite,Facebook Lite,5.142857142857143,com.cricheroes.cricheroes.alpha,Cricket Scoring App-CricHeroes,5.857142857142857,com.free.speedfiy,Speed Proxy-Video call booster,5.428571428571429,in.redbus.android,"Book Bus, Train Tickets & Cabs",5.571428571428571,com.frontrow.vlog,VN Video Editor Maker VlogNow,5.285714285714286,com.alp.trainsimulatorgames,City Train Driver Simulator,5.142857142857143
5,com.articoapps.wedraw,WeDraw - How to Draw Anime,6.428571428571429,com.cars24.seller,CARS24®: Buy Used Cars & Sell,6.142857142857143,com.xface.beautymakeup.selfiecamera,XFace: Virtual Makeup Artist,5.857142857142857,com.thakurprasadcalendar,Thakur Prasad Calendar 2023,6.571428571428571,naukriApp.appModules.login,Naukri.com Job Search App,6.0,com.livetvallchannels.tvallchannel.freetv.allchannelsguide.livelifeapp,"Picasso : Live Tv show, Movies",5.857142857142857,com.touchtalent.bobbleapp,Bobble Keyboard,7.0,ru.loveplanet.app,LP: Dating Video Chat Live,6.857142857142857,com.byjus.thelearningapp,BYJU'S – The Learning App,4.571428571428571,com.tv.v18.viola,"Voot, Bigg Boss, Colors TV",7.285714285714286,com.liverydot.djtruckmodbussimulator,DJ Truck Mod Bus Simulator,5.857142857142857,com.sbi.lotusintouch,YONO SBI: Banking & Lifestyle,6.0,com.phdv.universal,Pizza Hut Delivery & Takeaway,6.571428571428571,sixpack.sixpackabs.absworkout,Six Pack in 30 Days,5.714285714285714,com.timesgroup.magicbricks,"Magicbricks Buy, Rent Property",5.714285714285714,com.booster.gameboostermega,Game Booster Fire GFX- Lag Fix,5.571428571428571,com.ant.dressup.game,Dress Up Game,6.285714285714286,sinet.startup.inDriver,inDrive. Rides with fair fares,5.714285714285714,com.intellihealth.truemeds,Truemeds - Online Medicine App,6.285714285714286,com.smule.singandroid,Smule: Sing 10M+ Karaoke Songs,6.0,com.koo.app,Koo: Know What's Happening!,6.0,de.sternx.safes,Safes - Parental Control,6.428571428571429,com.leolegaltechapps.edgelightinglighting,"Fake Video Call, Prank Call",6.857142857142857,com.pixlud.beautypluscam,Beauty Plus Cam -Selfie Editor,6.0,com.digilocker.android,DigiLocker,6.428571428571429,com.myntra.android,Myntra - Fashion Shopping App,6.285714285714286,com.cardfeed.video_public,Public - Indian Local Videos,6.0,com.fifa.fifaapp.android,FIFA+ | Your Home for Football,6.0,com.dubox.drive,Terabox: Cloud Storage Space,6.714285714285714,com.oyo.consumer,OYO : Hotel Booking App,6.571428571428571,ins.story.unfold,Mivo: Face swap & MV maker,5.714285714285714,com.sa.real.bus.simulator,Public Bus simulator 2022,5.428571428571429
6,com.cool.stylish.text.art.fancy.color.creator,Text Art: Quote & Poster Maker,7.25,com.spinny.consumer,Spinny - Buy & Sell Used Cars,6.857142857142857,beauty.selfiecamera.beautycam.youbeautymakeup,Beauty Camera : You Makeover P,6.428571428571429,com.pocketfm.novel,Pocket Novel Reader,7.0,com.apnatime,"apna: Job Search, Alerts India",7.571428571428571,com.animetv.animetvonline.us2002,Anime tv - Anime Tv Online HD,7.0,com.facebook.orca,Messenger,7.142857142857143,ru.fotostrana.sweetmeet,Dating and Chat - SweetMeet,7.0,com.testbook.tbapp,Testbook: Exam Preparation App,6.0,com.sonyliv,"Sony LIV:Sports, Entertainment",7.714285714285714,com.invitationmaker.cardmaker.wedding.greetingscard.partyinvitation,Party Invitation Card Maker,6.714285714285714,com.naviapp,"Navi: Loan, Insurance & Funds",7.714285714285714,com.mcdonalds.mobileapp,McDonald's,6.714285714285714,com.boAt.wristgear,boAt Wearables,7.571428571428571,com.riyatechnoz.pmawas,आवास योजना नई सूची 2022 Awas,7.714285714285714,tk.simplyapp.pbccalendar,Pt Babulal Chaturvedi Calendar,6.857142857142857,com.quackquack,QuackQuack Dating App in India,6.571428571428571,com.rapido.rider,Rapido Captain Bike Taxi Auto,7.285714285714286,com.phonegap.rxpal,PharmEasy - Healthcare App,6.571428571428571,com.vlv.aravali,Kuku FM - Audiobooks & Stories,7.0,com.ak.ta.divya.bhaskar.activity,Gujarati News by Divya Bhaskar,6.857142857142857,com.tpf.gavw.mcyzj,Pregnancy Test & Tracker,7.142857142857143,com.xander.android.notifybuddy,NotifyBuddy - Notification LED,6.857142857142857,com.adobe.lrmobile,Lightroom Photo & Video Editor,6.857142857142857,com.recoverdeleted.recyclebin.recoverphotos.textrecovery,Recover Deleted Photos,7.714285714285714,com.tatadigital.tcp,"Tata Neu - Shop, Travel, Pay",6.714285714285714,video.tiki,Tiki - Short Video App,7.142857142857143,in.cricketexchange.app.cricketexchange,CREX - Cricket Exchange,6.857142857142857,com.free.unblock.melon.vpn,VPN Master - Unlimited Fast,8.857142857142858,com.makemytrip,"MakeMyTrip Hotels, Flight, Bus",7.571428571428571,com.mivita.video.status.maker,Mivita - Face Swap Video Maker,7.571428571428571,com.weather.free.forecast.dailyweather,Daily Weather,7.857142857142857
7,com.redberry.glitterdressa2,Glitter dress coloring and dra,7.571428571428571,consumer_app.mtvagl.com.marutivalue,Maruti Suzuki True Value,8.571428571428571,yesmadamservices.app.com.yesmadamservices,Yes Madam -Salon & Spa At Home,8.428571428571429,free.alquran.holyquran,Al QURAN - القرأن الكريم,7.142857142857143,com.microsoft.teams,Microsoft Teams,8.714285714285714,jp.co.shueisha.mangaplus,MANGA Plus by SHUEISHA,8.142857142857142,com.novatranslator.application.gotrans,Nova browser - Safe browsing,7.428571428571429,mirchi.livevideo.chat,Sexy Girls Live Video Call App,8.0,co.brainly,Brainly: Study & Learning App,7.333333333333333,com.weieyu.yalla,Yalla - Group Voice Chat Rooms,8.142857142857142,in.insider.consumer,Paytm Insider: Events Near You,6.857142857142857,com.rs.mirae,"mStock - Stocks, MTF & IPO",10.142857142857142,com.yum.kfc,KFC India online ordering app,7.571428571428571,bloodpressure.bloodpressureapppro.bloodpressureapp,Blood Pressure App Pro,8.142857142857142,com.winkypinky.VioletCinderellaCleaningCastle,Violet Cinderella Castle Clean,7.857142857142857,inc.trilokia.pubgfxtool.free,"PGT: GFX, Launcher & Optimizer",7.285714285714286,com.ojassoft.astrosage,AstroSage Kundli : Astrology,7.0,com.what3words.android,what3words,7.857142857142857,eka.care,"Heart rate, Health Record,ABHA",8.0,com.gaana,Gaana: Song App & Music Player,8.142857142857142,com.quora.android,Quora: the knowledge platform,8.714285714285714,com.raising.prodigy,Prodigy Baby - Parenting App,7.428571428571429,com.ikeyboard.theme.neon.love,Neon Love Theme,8.0,photo.editor.photoeditor.photoeditorpro,Photo Editor - Polish,8.0,com.downlood.sav.whmedia,Status Saver - Video Download,7.714285714285714,com.olx.southasia,OLX: Buy & Sell Near You with ,8.857142857142858,instagram.video.downloader.story.saver,Video downloader for Instagram,8.142857142857142,com.dream11sportsguru,FanCode : Live Cricket & Score,7.0,com.lightqr.code,Light Net- proxy Tool,10.571428571428571,com.agoda.mobile.consumer,Agoda,7.571428571428571,com.nexstreaming.app.kinemasterfree,KineMaster - Video Editor,8.0,com.weather.live.forecast.amwidget,Weather - Live & Forecast,8.142857142857142
8,com.covermaker.thumbnail.maker,Thumbnail Maker - Channel art,8.571428571428571,com.zinka.boss,BlackBuck Boss,9.142857142857142,fashion.soni,Soni Fashion - Gents Jewellery,8.857142857142858,hindi.ncert.books.solutions,"NCERT Hindi Books , Solutions ",8.571428571428571,com.anydesk.anydeskandroid,AnyDesk Remote Desktop,9.142857142857142,mobi.mangatoon.comics.aphone,MangaToon - Manga Reader,8.857142857142858,com.eci.citizen,Voter Helpline,8.571428571428571,com.ihappydate,Dating with singles - iHappy,9.285714285714286,com.hindi.english.translate.language.word.dictionary,Hindi English Translator,7.571428571428571,com.amazon.avod.thirdpartyclient,Amazon Prime Video,9.0,wedding.invitation.videos,Invitation Video Maker Bulaava,8.857142857142858,com.google.android.apps.nbu.paisa.merchant,Google Pay for Business,10.428571428571429,com.done.faasos,EatSure - Online Food Delivery,8.428571428571429,com.google.android.apps.fitness,Google Fit: Activity Tracking,9.571428571428571,com.tv.cast.screen.mirroring.remote.control,TV Cast: Anycast in smart view,9.857142857142858,inc.trilokia.gfxtool.free,Gamers GLTool with Game Tuner,8.857142857142858,com.google.android.apps.chromecast.app,Google Home,9.0,com.scorpio.callertrueid.truecaller.callerid,Phone Number Locator Caller id,8.857142857142858,in.ndhm.phr,ABHA,9.571428571428571,com.musicplayer.music.app,Music Player - MP3 Player,8.666666666666666,com.forhy.clobaltimes,Global Times,9.142857142857142,com.avegen.together,Pregnancy and Baby Tracker App,8.857142857142858,com.fontskeyboard.fonts,Fonts Keyboard,10.428571428571429,com.google.android.apps.photos,Google Photos,9.0,cn.wps.moffice_eng,"WPS Office-PDF,Word,Excel,PPT",10.428571428571429,com.manash.purplle,Purplle Online Beauty Shopping,8.857142857142858,in.mohalla.video,Moj,8.571428571428571,com.app.cricketapp,Cricket Line Guru : Live Line,9.0,com.lite.thumb.up,Thumb Access,10.714285714285714,com.cris.utsmobile,UTS,8.571428571428571,vinkle.video.editor,Beat.ly: music video maker,10.142857142857142,com.chanel.weather.forecast.accu,Weather forecast,8.428571428571429
9,com.ar.tattoo,AR Tattoo: Fantasy & Fun,10.142857142857142,gomechanic.spares,GoMechanic Spares - Car Parts,10.142857142857142,air.com.winkypinky.coverfashiondolldressup,Cover Fashion - Doll Dress Up,9.857142857142858,com.amazon.kindle,Amazon Kindle - eBooks & more,10.285714285714286,com.Adsexchange,Adsexchange,9.714285714285714,com.tuneonn.jokes,Hindi Jokes | हिन्दी चुटकुले,10.285714285714286,com.callapp.contacts,CallApp: Caller ID & Block,10.0,com.Video345.livecallcde,Ladki Se Baat Karane Vala App,9.857142857142858,com.whizkidzmedia.youhuu,OckyPocky : English For Kids,7.571428571428571,com.funnypuri.client,Zili Short Video App for India,9.0,com.nrlm.lakhpatikisaan,Lakhpati Didi,10.571428571428571,com.nextbillion.groww,Groww: Stocks & Mutual Fund,11.142857142857142,in.swiggy.deliveryapp,Swiggy Delivery Partner App,10.0,breastenlarger.bodyeditor.photoeditor,Body Editor & Photo Editor,9.571428571428571,com.nuvonirmaan,Nuvo Nirmaan,10.714285714285714,ru.iiec.pydroid3.quickinstallrepo,Pydroid repository plugin,10.714285714285714,com.nobroker.app,NoBroker Property Rent & Sale,10.0,com.appscourt.livestreetview.gps.maps.travelnavigation.apps,Live Satellite View GPS Map,10.0,com.practo.fabric,Practo : Online Doctor App,10.714285714285714,com.musicplayer.music.app,Music Player - Mp3 Player,9.0,com.htmedia.mint,Mint - Business & Market News,9.285714285714286,com.krishnacoming.app,Garbh Sanskar: KRISHNA COMING,10.142857142857142,com.thegosa.miuithemes,Themes,11.142857142857142,drop.shadow.dropshadow,Drop Shadow For Instagram,11.0,com.cv.docscanner,Document Scanner - PDF Creator,12.0,com.jpl.jiomart,JioMart Online Shopping App,10.285714285714286,com.kutumb.android,Kutumb App - Community App,11.0,com.crrepa.band.noise,NoiseFit Track,9.571428571428571,com.masterproxy.free,Space Proxy-FAST&SECURE,11.428571428571429,com.google.earth,Google Earth,9.428571428571429,com.wondershare.filmoragolite,Filmora Lite – Video editor,10.428571428571429,com.alp.carstunt,Mountain Climb 4x4 Car Drive,10.428571428571429
10,jp.ne.ibis.ibispaintx.app,ibis Paint X,11.142857142857142,com.gofinger.vehicleinfo,RTO Vehicle Information App,10.285714285714286,com.perfectcorp.amb,Artistry Virtual Beauty,10.857142857142858,uk.co.highapp.audiobook.ebooks,Languager; Learn Language Fast,11.285714285714286,kaagaz.scanner.docs.pdf,"PDF Scanner, Cam Scan - Kaagaz",10.142857142857142,com.marvel.comics,Marvel Comics,11.142857142857142,com.imo.android.imoim,imo-International Calls & Chat,11.0,ru.mobstudio.andgalaxy,Galaxy - Chat Rooms & Dating,11.25,com.doubtnutapp,"Doubtnut: NCERT, IIT JEE, NEET",8.857142857142858,com.zhao.sweetmessagefor,Sweet Message For,11.285714285714286,com.muslimappassistant.Islampro.qiblafinder.quranprayerdua,Easy Quran Mp3 Audio Offline,11.428571428571429,com.dreamplug.androidapp,CRED: Credit Card Bills & More,11.428571428571429,com.licious,"Licious - Chicken, Fish & Meat",11.714285714285714,menloseweight.loseweightappformen.weightlossformen,Lose Weight App for Men,10.571428571428571,com.asianpaints.dbu.digital.colourwithasianpaints,Colour with Asian Paints - Wal,10.857142857142858,com.Top100ringtones2020.Ringtones2020.ringtones2020,ringtones 2022,10.857142857142858,com.amazon.dee.app,Amazon Alexa,11.285714285714286,com.vialsoft.radarbot_free,Radarbot Speed Camera Detector,11.571428571428571,com.innoplexus.neuria,Neuria,10.857142857142858,com.google.android.apps.youtube.music,YouTube Music,11.0,com.mobstac.thehindu,The Hindu: Live News Updates,11.285714285714286,com.pruoo.pruoo_app,iMumz - Pregnancy & Parenting,11.857142857142858,com.iconchanger.widget.theme.shortcut,"Themepack - App Icons, Widgets",11.428571428571429,io.faceapp,FaceApp: Face Editor,11.285714285714286,net.filerecover.cleankit,File Cleanup Expert,12.142857142857142,fc.admin.fcexpressadmin,FirstCry India - Baby & Kids,11.285714285714286,com.follow.chat,Saxy - Follow video call,12.571428571428571,com.kite.indvspakkitefly,India Vs Pakistan Kite Fly Adv,11.571428571428571,com.xiaomi.midrop,ShareMe: File sharing,12.428571428571429,com.cleartrip.android,Cleartrip - Travel Booking App,11.285714285714286,com.browsevideo.videoplayer.downloader,All Video Downloader,11.0,com.channel.weather.forecast,Weather Forecast: Live Weather,11.714285714285714
